Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า พ.ค,ค่าน้ำ (บาท),VAt7% ค่าน้ำ,ค่าไฟ (บาท),VAt7% ค่าไฟ,ค่าห้องเดือน เม.ย 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่ารับล่วงหน้า ค่าเช่า เม.ย,ค่าเช่าห้อง เม.ย,ค่าทำความสะอาด,Vat7% ค่าทำความสะอาด,ค่าปรับ,Vat7% ค่าปรับ,ค่าน้ำ,Vat7% ค่าน้ำ,ค่าไฟ,Vat7% ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,เงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
W,31,4115,Studio,40,1342,54,1479,14,137,,,,,420.0,29.400000000000002,1096,76.72000000000001,5500,275.0,5225.0,,6847.12,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-09-19 00:00:00,1 ปี,,,
W,32,4116,Studio,20,705,20,825,0,120,,,,,0.0,0.0,960,67.2,5500,275.0,5225.0,,6252.2,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-08-14 00:00:00,1 ปี,2569-08-14 00:00:00,,
W,33,4117,Studio,17,717,19,872,2,155,,,,,60.0,4.2,1240,86.80000000000001,5500,275.0,5225.0,,6616.0,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-07-15 00:00:00,1 ปี,2569-07-15 00:00:00,,
W,34,4118,Studio,34,750,40,970,6,220,,,,,180.0,12.600000000000001,1760,123.20000000000002,5500,275.0,5225.0,,7300.799999999999,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-07-15 00:00:00,1 ปี,2569-07-15 00:00:00,,
W,35,4120,Studio IN 15/3/69,37,1555,38,1601,1,46,,,,,30.0,2.1,368,25.76,3016.13,150.8065,2865.3235,,3291.1835,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-15 00:00:00,1 ปี,,,
W,36,4121,Studio IN 15/3/69,48,1569,49,1657,1,88,,,,,30.0,2.1,704,49.28,3016.13,150.8065,2865.3235,,3650.7035,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-15 00:00:00,1 ปี,,,
W,37,4122,Studio IN 15/3/69,32,1435,34,1515,2,80,,,,,60.0,4.2,640,44.800000000000004,3016.13,150.8065,2865.3235,,3614.3235,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-15 00:00:00,1 ปี,,,
W,38,4126,Studio,34,1183,38,1396,4,213,,,,,120.0,8.4,1704,119.28000000000002,5500,275.0,5225.0,,7176.68,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-23 00:00:00,1 ปี,,,
W,39,4127,Studio IN 15/3/69,35,1362,36,1449,1,87,,,,,30.0,2.1,696,48.720000000000006,3016.13,150.8065,2865.3235,,3642.1435,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-15 00:00:00,1 ปี,,,
N,40,5016,Studio IN 15/3/69,1,2,2,67,1,65,,,,,30.0,2.1,520,36.400000000000006,3016.13,150.8065,2865.3235,,3453.8235,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-15 00:00:00,1 ปี,,,
