Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน ธ.ค 2568 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่าข้ามไปเดือน ม.ค,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
W,46,4015,Studio,50,1402,57,1591,7.0,189.0,-,-,-,-,210.0,14.700000000000001,1512.0,105.84,4500,225.0,4275.0,2569-01-23 00:00:00,6117.54,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,47,4016,Studio,41,1357,43,1407,2.0,50.0,-,-,-,-,60.0,4.2,400.0,28.000000000000004,4500,225.0,4275.0,2569-01-23 00:00:00,4767.2,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,48,4017,Studio,29,1480,31,1621,2.0,141.0,-,-,-,-,60.0,4.2,1128.0,78.96000000000001,4500,225.0,4275.0,2569-01-23 00:00:00,5546.16,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,49,4018,Studio,43,1232,46,1407,3.0,175.0,-,-,-,-,90.0,6.300000000000001,1400.0,98.00000000000001,4500,225.0,4275.0,2569-01-23 00:00:00,5869.3,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,50,4019,Studio,32,1367,35,1545,3.0,178.0,-,-,-,-,90.0,6.300000000000001,1424.0,99.68,4500,225.0,4275.0,2569-01-23 00:00:00,5894.98,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,51,4020,Studio,41,2320,47,2661,6.0,341.0,-,-,-,-,180.0,12.600000000000001,2728.0,190.96,4500,225.0,4275.0,2569-01-23 00:00:00,7386.5599999999995,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,52,4021,Studio,11,520,11,520,0.0,0.0,,,,,0.0,0,0.0,0.0,4500,225.0,4275.0,2569-01-23 00:00:00,4275.0,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,53,4027,Studio,10,290,10,290,0.0,0.0,,,,,0.0,0,0.0,0.0,4500,225.0,4275.0,2569-01-23 00:00:00,4275.0,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,54,4028,Studio,6,316,6,316,0.0,0.0,,,,,0.0,0,0.0,0.0,4500,225.0,4275.0,2569-01-23 00:00:00,4275.0,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,55,4029,Studio,9,297,9,297,0.0,0.0,,,,,0.0,0,0.0,0.0,4500,225.0,4275.0,2569-01-23 00:00:00,4275.0,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
